OrderID;Date;CustomerID;Product;Quantity;UnitPrice;ShippingAddress;PaymentMethod;OrderStatus;TrackingNumber;ItemsInCart;CouponCode;ReferralSource;TotalPrice;Calculated_Total_Price;Validated Status;Month Name;Month
ORD200000;04/01/2023;C72649;Monitor;5;570,62;928 Main St;Debit Card;Shipped;TRK37947903;7;Save10;Instagram;2853,1;2853,1;Correct;January;1
ORD200001;23/08/2024;C75739;Phone;2;151,35;823 Main St;Online;Shipped;TRK91186779;3;Save10;Referral;302,7;302,7;Correct;August;8
ORD200002;27/02/2024;C81728;Tablet;5;550,68;512 Main St;Credit Card;Cancelled;TRK42903982;8;Freeship;Email;2753,4;2753,4;Check;February;2
ORD200003;15/10/2023;C33540;Chair;1;273,19;275 Main St;Debit Card;Returned;TRK62788070;5;Save10;Facebook;273,19;273,19;Correct;October;10
ORD200004;08/05/2025;C81840;Printer;4;626,01;668 Main St;Online;Delivered;TRK29241424;8;Save10;Email;2504,04;2504,04;Correct;May;5
ORD200005;23/10/2023;C37249;Phone;2;245,86;934 Main St;Credit Card;Shipped;TRK72976927;4;Save10;Instagram;491,72;491,72;Correct;October;10
ORD200006;17/06/2025;C83492;Laptop;1;664,42;986 Main St;Gift Card;Returned;TRK96417362;6;Save10;Facebook;664,42;664,42;Correct;June;6
ORD200007;12/05/2023;C41460;Monitor;5;149,55;706 Main St;Cash;Shipped;TRK78809193;9;Freeship;Facebook;747,75;747,75;Correct;May;5
ORD200008;02/04/2025;C26817;Phone;2;134,28;904 Main St;Gift Card;Cancelled;TRK61042692;2;No Coupon;Email;268,56;268,56;Correct;April;4
ORD200009;21/11/2023;C31946;Desk;4;509,38;102 Main St;Credit Card;Shipped;TRK33478363;6;Save10;Google;2037,52;2037,52;Correct;November;11
ORD200010;29/12/2023;C43443;Tablet;5;625,97;333 Main St;Credit Card;Returned;TRK98859248;9;Winter15;Instagram;3129,85;3129,85;Check;December;12
ORD200011;17/02/2024;C93861;Monitor;3;49,14;831 Main St;Online;Returned;TRK48234646;7;Save10;Email;147,42;147,42;Check;February;2
ORD200012;15/10/2024;C38785;Monitor;2;180,5;179 Main St;Debit Card;Pending;TRK20419991;6;Freeship;Referral;361;361;Correct;October;10
ORD200013;30/08/2023;C88348;Laptop;3;201,49;903 Main St;Credit Card;Returned;TRK81913874;4;Freeship;Facebook;604,47;604,47;Correct;August;8
